id,name,chain,city_id,address_line,pincode,lat,lng
40,Pharmacy_32,PaxMed dataset,6,Street 32,500032,12.9716,77.5946
41,Pharmacy_33,PaxMed dataset,1,Street 33,500033,19.076,72.8777
42,Pharmacy_34,PaxMed dataset,7,Street 34,500034,13.0827,80.2707
43,Pharmacy_35,PaxMed dataset,6,Street 35,500035,12.9716,77.5946
44,Pharmacy_36,PaxMed dataset,1,Street 36,500036,19.076,72.8777
45,Pharmacy_37,PaxMed dataset,8,Street 37,500037,28.6139,77.209
46,Pharmacy_38,PaxMed dataset,8,Street 38,500038,28.6139,77.209
47,Pharmacy_39,PaxMed dataset,6,Street 39,500039,12.9716,77.5946
48,Pharmacy_40,PaxMed dataset,1,Street 40,500040,19.076,72.8777
49,Pharmacy_41,PaxMed dataset,8,Street 41,500041,28.6139,77.209
50,Pharmacy_42,PaxMed dataset,7,Street 42,500042,13.0827,80.2707
51,Pharmacy_43,PaxMed dataset,8,Street 43,500043,28.6139,77.209
52,Pharmacy_44,PaxMed dataset,5,Street 44,500044,17.385,78.4867
53,Pharmacy_45,PaxMed dataset,1,Street 45,500045,19.076,72.8777
54,Pharmacy_46,PaxMed dataset,6,Street 46,500046,12.9716,77.5946
55,Pharmacy_47,PaxMed dataset,1,Street 47,500047,19.076,72.8777
56,Pharmacy_48,PaxMed dataset,8,Street 48,500048,28.6139,77.209
57,Pharmacy_49,PaxMed dataset,5,Street 49,500049,17.385,78.4867
58,Pharmacy_50,PaxMed dataset,8,Street 50,500050,28.6139,77.209
59,Pharmacy_51,PaxMed dataset,8,Street 51,500051,28.6139,77.209
60,Pharmacy_52,PaxMed dataset,1,Street 52,500052,19.076,72.8777
61,Pharmacy_53,PaxMed dataset,8,Street 53,500053,28.6139,77.209
62,Pharmacy_54,PaxMed dataset,7,Street 54,500054,13.0827,80.2707
63,Pharmacy_55,PaxMed dataset,5,Street 55,500055,17.385,78.4867
64,Pharmacy_56,PaxMed dataset,7,Street 56,500056,13.0827,80.2707
65,Pharmacy_57,PaxMed dataset,7,Street 57,500057,13.0827,80.2707
66,Pharmacy_58,PaxMed dataset,5,Street 58,500058,17.385,78.4867
67,Pharmacy_59,PaxMed dataset,1,Street 59,500059,19.076,72.8777
68,Pharmacy_60,PaxMed dataset,8,Street 60,500060,28.6139,77.209
69,Pharmacy_61,PaxMed dataset,5,Street 61,500061,17.385,78.4867
70,Pharmacy_62,PaxMed dataset,7,Street 62,500062,13.0827,80.2707
71,Pharmacy_63,PaxMed dataset,1,Street 63,500063,19.076,72.8777
72,Pharmacy_64,PaxMed dataset,5,Street 64,500064,17.385,78.4867
73,Pharmacy_65,PaxMed dataset,5,Street 65,500065,17.385,78.4867
74,Pharmacy_66,PaxMed dataset,1,Street 66,500066,19.076,72.8777
75,Pharmacy_67,PaxMed dataset,5,Street 67,500067,17.385,78.4867
76,Pharmacy_68,PaxMed dataset,8,Street 68,500068,28.6139,77.209
77,Pharmacy_69,PaxMed dataset,6,Street 69,500069,12.9716,77.5946
78,Pharmacy_70,PaxMed dataset,5,Street 70,500070,17.385,78.4867
79,Pharmacy_71,PaxMed dataset,5,Street 71,500071,17.385,78.4867
80,Pharmacy_72,PaxMed dataset,5,Street 72,500072,17.385,78.4867
81,Pharmacy_73,PaxMed dataset,1,Street 73,500073,19.076,72.8777
82,Pharmacy_74,PaxMed dataset,5,Street 74,500074,17.385,78.4867
83,Pharmacy_75,PaxMed dataset,1,Street 75,500075,19.076,72.8777
84,Pharmacy_76,PaxMed dataset,8,Street 76,500076,28.6139,77.209
85,Pharmacy_77,PaxMed dataset,8,Street 77,500077,28.6139,77.209
86,Pharmacy_78,PaxMed dataset,5,Street 78,500078,17.385,78.4867
87,Pharmacy_79,PaxMed dataset,5,Street 79,500079,17.385,78.4867
88,Pharmacy_80,PaxMed dataset,7,Street 80,500080,13.0827,80.2707
89,Pharmacy_81,PaxMed dataset,7,Street 81,500081,13.0827,80.2707
90,Pharmacy_82,PaxMed dataset,8,Street 82,500082,28.6139,77.209
91,Pharmacy_83,PaxMed dataset,1,Street 83,500083,19.076,72.8777
92,Pharmacy_84,PaxMed dataset,7,Street 84,500084,13.0827,80.2707
93,Pharmacy_85,PaxMed dataset,6,Street 85,500085,12.9716,77.5946
94,Pharmacy_86,PaxMed dataset,6,Street 86,500086,12.9716,77.5946
95,Pharmacy_87,PaxMed dataset,8,Street 87,500087,28.6139,77.209
96,Pharmacy_88,PaxMed dataset,6,Street 88,500088,12.9716,77.5946
97,Pharmacy_89,PaxMed dataset,6,Street 89,500089,12.9716,77.5946
98,Pharmacy_90,PaxMed dataset,5,Street 90,500090,17.385,78.4867
99,Pharmacy_91,PaxMed dataset,7,Street 91,500091,13.0827,80.2707
100,Pharmacy_92,PaxMed dataset,6,Street 92,500092,12.9716,77.5946
101,Pharmacy_93,PaxMed dataset,8,Street 93,500093,28.6139,77.209
102,Pharmacy_94,PaxMed dataset,8,Street 94,500094,28.6139,77.209
103,Pharmacy_95,PaxMed dataset,5,Street 95,500095,17.385,78.4867
104,Pharmacy_96,PaxMed dataset,5,Street 96,500096,17.385,78.4867
105,Pharmacy_97,PaxMed dataset,7,Street 97,500097,13.0827,80.2707
106,Pharmacy_98,PaxMed dataset,6,Street 98,500098,12.9716,77.5946
107,Pharmacy_99,PaxMed dataset,1,Street 99,500099,19.076,72.8777
108,Pharmacy_100,PaxMed dataset,1,Street 100,500100,19.076,72.8777
109,ERP Demo Pharmacy,,5,,500016,0,0
110,My Pharmacy (Ameerpet),,5,Ameerpet Main Rd,500016,17.4375,78.4483
